psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfFlux_u,psfFlux_g,psfFlux_r,psfFlux_i,psfFlux_z,cModelFlux_u,cModelFlux_g,cModelFlux_r,cModelFlux_i,cModelFlux_z,spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,petromag_u,petromag_g,petromag_r,petromag_i,petromag_z,class
19.08621,17.41779,16.59581,16.03497,15.68077,23.20055,107.866,229.973,385.4908,534.1841,187.1812,699.413,1344.288,1994.623,2580.759,39.81458,140.295,327.9522,499.9452,651.9753,17.12867,15.6145,14.84587,14.44303,14.13193,GALAXY
22.34321,20.31663,18.93372,18.37257,17.98846,1.138389,7.469364,26.6996,44.76786,63.76141,4.226673,21.2794,82.23627,137.5556,191.3736,2.123277,9.335421,34.6511,57.4516,74.03194,20.79233,19.23255,17.79019,17.21832,16.83603,GALAXY
20.0244,19.60159,19.4929,19.37188,19.29829,9.77577,14.43272,15.95196,17.83215,19.05594,10.60022,14.88371,17.09156,19.57459,21.2548,10.5696,13.40874,15.18042,17.93766,17.15082,19.93402,19.55049,19.41699,19.24576,19.21395,QSO
20.8912,19.14573,18.15873,17.71922,17.33419,4.39624,21.96334,54.51386,81.71674,116.4946,13.50372,91.13806,200.1116,300.6957,424.6661,10.50277,30.38732,71.79632,113.1538,149.1223,19.72187,17.708,16.83504,16.39123,16.05113,GALAXY
20.95082,19.9324,19.5894,19.14601,19.0319,4.160846,10.64163,14.59523,21.95675,24.36918,17.21638,46.80309,72.85784,100.6861,105.1149,8.867897,15.62749,24.44642,32.26784,35.75817,19.50893,18.38805,17.84603,17.53182,17.53753,GALAXY
22.6785,20.57042,19.16476,18.74523,18.31245,0.8252919,5.911944,21.58152,31.76106,47.30558,14.46291,49.14034,102.9299,132.5298,155.4755,4.219461,8.096093,27.00552,44.98414,56.48767,19.89724,18.66516,17.66371,17.29358,17.19632,GALAXY
24.22017,21.98278,20.26409,19.47981,18.9457,0.1095141,1.605203,7.839041,16.14433,26.38639,-0.03710594,1.971869,14.0214,27.50415,35.80366,0.6585321,1.535506,8.997657,19.55951,25.60335,25.79026,21.34879,19.29993,18.621,18.06832,GALAXY
23.21058,21.36191,19.60473,18.94129,18.5434,0.4820068,2.849717,14.39061,26.51338,38.23632,7.354566,7.815956,38.59199,65.8464,93.29981,0.8037935,3.537427,18.29376,33.88227,46.16777,22.40671,20.32166,18.62304,18.05202,17.62471,GALAXY
21.02006,19.20854,18.07027,17.64711,17.19688,3.903176,20.72883,59.14132,87.32805,132.2011,10.57425,64.24809,182.4194,285.2876,398.8551,8.969589,26.45111,75.90058,119.1687,163.3784,19.894,17.99846,16.87352,16.38553,15.99734,GALAXY
21.20904,19.42839,18.5383,18.1683,17.86808,3.277897,16.92894,38.4304,54.03477,71.23947,7.857462,38.90077,89.87032,128.3643,169.3149,4.701622,20.59134,47.51937,69.6454,87.91445,20.49234,18.58341,17.69303,17.29731,16.98516,GALAXY
19.40501,18.10427,18.09704,18.12775,18.21595,17.29691,57.31786,57.70079,56.09122,51.7049,16.67145,59.35226,57.98555,55.03379,51.01028,40.15755,62.67572,67.00955,67.15084,66.44608,19.54561,18.08947,18.13455,18.21203,18.29419,STAR
22.30211,20.24164,18.82065,18.23594,17.68859,1.183595,8.003633,29.62998,50.77153,84.04861,4.978922,42.74429,119.1302,178.5157,254.9532,3.268921,10.26565,37.51066,67.99418,103.5827,20.59526,18.65869,17.43989,16.9439,16.51612,GALAXY
20.58002,19.28076,18.51645,18.18855,17.9016,5.857939,19.39486,39.21155,53.03657,69.07345,26.52692,107.7232,188.9837,282.5509,338.2756,11.35586,27.92873,54.1107,78.85195,96.97338,19.03327,17.4961,16.91567,16.50206,16.31514,GALAXY
22.25472,20.96365,20.1876,19.85072,19.65582,1.23783,4.114634,8.411434,11.47112,13.69023,9.089064,51.81595,93.91576,148.7122,116.2212,3.508422,6.214689,12.23269,17.67177,23.2049,20.67226,18.29268,17.66579,17.15509,17.36016,GALAXY
20.81802,19.12126,18.20515,17.74424,17.44748,4.703373,22.4641,52.23205,79.85509,104.9505,26.60467,116.6827,286.1676,420.2531,560.9749,8.101942,27.49483,68.29324,102.0071,134.4684,19.16707,17.45287,16.47817,16.06316,15.79501,GALAXY
22.61824,21.01499,19.51864,19.15965,18.74376,0.8749606,3.924416,15.57822,21.68254,31.78789,12.30037,36.51366,93.97292,149.3838,218.5081,2.572089,6.740855,21.93759,37.40887,48.85103,19.89841,18.69191,17.76164,17.28971,16.93477,GALAXY
22.04862,20.06321,18.7652,18.22501,17.78054,1.502555,9.433614,31.18283,51.28506,77.22278,5.881714,27.93233,90.12046,152.1958,223.9443,2.101208,11.89494,42.15648,74.01651,108.0176,21.00062,19.02063,17.72769,17.15136,16.76278,GALAXY
16.95076,16.51067,16.64215,16.81274,17.01157,165.8422,248.7324,220.363,188.3226,156.8058,166.0721,252.0296,220.321,188.5671,156.5875,130.9917,230.272,219.1484,193.5727,165.9178,16.99276,16.53937,16.68844,16.85635,17.07649,STAR
20.72786,19.56912,19.22078,19.03137,18.83951,5.111314,14.87082,20.49615,24.40209,29.10155,45.74849,142.8864,248.7512,336.1212,422.3293,12.71917,22.40341,35.95997,45.55114,52.4039,18.27827,17.07784,16.49433,16.173,15.95374,GALAXY
22.14462,20.24165,18.82419,18.39242,17.99208,1.37311,8.003579,29.53373,43.9565,63.54879,34.28619,27.85014,97.6054,156.1812,242.6736,3.153628,11.06642,40.1112,67.37988,92.30122,20.23487,18.92637,17.54789,17.01817,16.55772,GALAXY
21.97521,20.21695,19.24541,18.74734,18.37376,1.609404,8.187833,20.03638,31.69923,44.70706,4.700191,47.41714,115.6045,186.8748,246.5653,6.063602,11.90208,30.49973,49.46634,68.60764,21.18987,18.39399,17.47365,16.9886,16.71661,GALAXY
18.68811,18.27849,18.34214,18.47045,18.61139,33.47719,48.82066,46.04055,40.90817,35.91361,33.82106,49.42793,46.09017,41.26335,37.6659,34.37907,48.23376,45.0892,41.57557,36.12772,18.74358,18.29577,18.38662,18.52811,18.54457,STAR
20.46657,20.06338,20.32423,20.55201,21.10359,6.503832,9.432109,7.416391,6.009077,3.467464,6.706736,9.530597,7.536816,6.491794,3.46858,9.980579,8.922306,7.631063,6.939798,7.513006,20.52345,20.08214,20.41347,20.4541,22.8664,STAR
21.5032,19.36397,18.2833,17.82876,17.42547,2.496663,17.96398,48.60463,73.87399,107.1,10.81577,63.9233,156.001,244.0891,315.2352,7.458658,23.64047,66.92995,109.2224,150.0402,20.08171,18.11407,17.09377,16.60844,16.2407,GALAXY
24.39035,21.94849,20.00339,19.42756,19.00117,0.06354343,1.657028,9.967401,16.94049,25.07007,4.516816,4.002062,26.46445,46.50697,57.91805,2.077332,2.468358,12.38222,23.9056,34.08666,21.11769,20.79082,18.92343,18.31154,18.064,GALAXY
21.57206,20.31439,19.19846,18.70304,18.31265,2.342255,7.484801,20.92192,33.0196,47.29713,10.12119,40.25105,116.5793,190.3086,292.6168,3.066532,9.939483,29.62474,50.22462,70.17236,20.30357,18.51608,17.4264,16.90854,16.52397,GALAXY
20.15141,18.49601,17.65571,17.23995,16.891,8.696078,39.95716,86.6395,127.0631,175.2226,48.6104,269.8759,553.2081,802.8238,1110.667,17.51664,52.60645,120.4545,188.2883,245.3423,18.27413,16.44098,15.70556,15.31477,15.04687,GALAXY
19.27059,18.79577,18.93402,19.10771,19.29378,19.57677,30.31712,26.69208,22.74521,19.13556,20.22009,30.34909,26.64561,22.66567,18.81496,17.52616,26.78442,25.60601,22.12395,19.41364,19.29751,18.85212,18.97965,19.16505,19.45817,STAR
